Date,Product ID,Price,Quantity Sold,Sale Country Code
2020-01-01,1,21.19,19,FR
2020-01-01,2,43.39,42,UK
2020-01-01,3,44.84,14,FR
2020-01-01,4,21.48,30,FR
2020-01-01,,,,FR
2020-01-01,6,28.29,100,US
2020-01-01,7,28.25,59,FR
2020-01-01,8,44.92,44,US
2020-01-01,9,22.58,12,UK
2020-01-01,10,26.98,79,DE
2020-01-01,11,39.21,15,FR
2020-01-01,,,,
2020-01-01,13,27.02,16,UK
2020-01-01,14,30.67,54,UK
2020-01-01,15,48.96,37,UK
2020-01-01,16,"21.11",42,UK
2020-01-01,17,28.78,23,UK
2020-01-01,18,40.6,94,US
2020-01-01,19,28.03,13,US
2020-01-01;20;47.75;86;US
2020-01-01,21,44.92,91,US
2020-01-01,22,20.65,41,FR
2020-01-01,23,34.92,56,UK
2020-01-01,24,42.9,10,US
2020-01-01,25,25.02,99,FR
2020-01-01,26,23.0,55,FR
2020-01-01,27,33.76,64,US
2020-01-01,28,32.38,68,UK
2020-01-01,29,23.92,19,DE
2020-01-01,30,35.68,67,UK
2020-01-01,31,39.65,41,DE
2020-01-01,32,21.11,71,DE
2020-01-01,33,33.71,51,FR
2020-01-01,34,32.68,94,FR
2020-01-01,35,33.51,21,DE
2020-01-01,36,27.74,1,FR
2020-01-01,37,20.47,89,DE
2020-01-01,38,21.07,62,UK
2020-01-01,39,29.89,30,DE
2020-01-01,40,36.18,63,FR
2020-01-01,41,24.38,65,FR
2020-01-01,42,41.58,8,US
2020-01-01,43,35.95,75,UK
2020-01-01,44,35.98,29,US
2020-01-01,45,46.41,19,FR
2020-01-01,46,42.0,28,FR
2020-01-01,47,40.21,73,US
2020-01-01,48,43.12,49,UK
2020-01-01,49,47.44,25,US
2020-01-01,50,21.25,67,DE
2020-01-02,1,40.71,34,DE
2020-01-02,2,25.36,98,US
2020-01-02,3,47.02,13,UK
2020-01-02,4,29.48,17,FR
2020-01-02,5,40.45,40,US
2020-01-02,6,40.14,76,UK
2020-01-02,7,38.52,49,US
2020-01-02,8,33.59,78,US
2020-01-02,9,48.03,3,US
2020-01-02,10,39.84,43,UK
2020-01-02,11,37.22,69,US
2020-01-02,12,41.32,37,US
2020-01-02,13,26.47,97,UK
2020-01-02,14,33.23,51,UK
2020-01-02,15,46.26,100,FR
2020-01-02,16,47.46,72,UK
2020-01-02,17,34.58,12,UK
2020-01-02,18,43.87,65,UK
2020-01-02,19,45.16,28,US
2020-01-02,20,25.97,88,DE
2020-01-02,21,36.64,22,DE
